Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_And_Relax,Luxury_Be_Spoilt,Do_Sports,Excitement_A_Challenge,Not_Exceed_Planned_Budget,Realise_Creativity,Fun_And_Entertainment,Good_Company,Health_and_Beauty,Free_And_Easy_Going,Entertainment_Facilities,Not_Care_About_Prices,Life_style_of_The _Local_People,Intense_Experience_of_Nature,Cosiness_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_Natural_Landscape,Cultural_Offers,Change_Of_Surroundings,Income_Doller_K,Expenditure_Doller_K
Female,55,6,manager or administrator,WA,married,3.70,Q2,3.00,3.21,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,19,1,unemployed,WA,single,3.10,Q1,4.07,2.69,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,,
Male,60,7,retired,WA,married,3.27,Q1,3.80,3.17,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,,
Female,26,6,home-duties,SA,married,3.93,Q3,3.80,3.36,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,,
Male,55,8,manager or administrator,VIC,living with a partner,4.43,Q4,4.13,2.70,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,,
Male,56,7,Clerical or service worker,VIC,married,4.30,Q4,3.27,2.50,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,,
Female,61,6,Clerical or service worker,VIC,married,3.43,Q2,3.13,2.93,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,,
Male,44,6,home-duties,QLD,married,3.30,Q1,3.33,2.63,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,31,1,home-duties,QLD,married,3.37,Q1,3.33,2.03,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,,
Female,42,2,professional,VIC,single,3.63,Q2,4.07,3.88,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,,
Male,63,1,retired,NSW,married,3.47,Q2,4.47,3.03,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,,
Female,34,7,professional,WA,married,3.40,Q2,3.60,2.73,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,31,3,small business owner,NSW,married,3.90,Q3,4.33,3.07,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,,
Male,46,3,small business owner,NSW,living with a partner,4.27,Q4,4.20,3.13,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,,
Female,21,3,unemployed,VIC,single,3.93,Q3,4.00,2.56,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,30,3,unemployed,WA,living with a partner,4.03,Q3,3.93,3.24,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,,
Male,39,1,labourer,VIC,married,4.37,Q4,3.93,3.94,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,,
Female,19,2,sales,QLD,single,3.97,Q3,3.73,3.04,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,23,7,Clerical or service worker,NSW,single,4.03,Q3,3.47,3.43,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,,
Male,46,8,professional,SA,married,3.07,Q1,4.73,3.64,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,
Female,39,4,sales,WA,married,2.27,Q1,2.93,3.50,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,39,4,manager or administrator,NSW,single,4.57,Q4,4.93,3.43,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,,
Female,19,,,VIC,single,3.40,Q2,3.13,2.38,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,,
Female,59,8,manager or administrator,SA,separated or divorced,3.10,Q1,3.60,1.70,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Male,76,3,retired,VIC,married,3.60,Q2,4.13,1.90,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,,
Female,36,3,Clerical or service worker,QLD,married,4.43,Q4,3.53,2.37,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,55,2,retired,SA,married,3.63,Q2,3.67,2.81,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Male,28,8,professional,VIC,married,4.83,Q4,4.20,3.21,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,,
Female,33,7,sales,VIC,single,4.40,Q4,4.47,3.57,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,59,7,,QLD,married,3.73,Q2,3.20,2.35,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,,
Male,41,7,professional,QLD,married,3.57,Q2,2.93,2.67,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,yes,,
Male,62,8,professional,QLD,married,3.20,Q1,3.20,2.31,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,,
Male,70,3,retired,VIC,widowed,3.70,Q2,3.53,3.78,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,,
Male,64,1,manager or administrator,QLD,living with a partner,4.77,Q4,4.93,2.03,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Female,30,7,manager or administrator,WA,married,4.60,Q4,4.40,3.85,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,,
Male,48,2,professional,VIC,married,3.97,Q3,4.13,3.17,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,,
Male,65,1,retired,QLD,separated or divorced,4.07,Q3,3.60,3.30,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Male,57,6,tradesperson,NSW,married,3.37,Q1,3.27,2.67,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,58,8,professional,QLD,married,3.90,Q3,3.40,3.07,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Female,36,7,unemployed,WA,married,3.90,Q3,3.53,3.33,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,,
Female,56,6,Clerical or service worker,NSW,single,3.67,Q2,3.40,2.75,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,,
Female,43,6,small business owner,NSW,married,2.93,Q1,2.87,2.30,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,32,7,professional,NSW,single,3.57,Q2,4.00,2.27,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,,
Male,34,8,manager or administrator,QLD,married,3.40,Q2,3.00,2.07,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,31,4,manager or administrator,QLD,married,4.07,Q3,4.33,3.23,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,,
Male,69,6,small business owner,NSW,married,4.27,Q4,3.73,3.40,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,,
Female,36,8,professional,VIC,single,3.60,Q2,2.73,2.43,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,41,8,professional,VIC,separated or divorced,4.33,Q4,4.00,2.88,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,,
Female,48,7,sales,QLD,married,3.67,Q2,4.53,2.00,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,,
Male,36,3,sales,QLD,married,3.87,Q3,4.33,3.05,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,,
Male,59,1,manager or administrator,SA,living with a partner,4.20,Q3,3.13,3.53,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,,
Female,56,7,Clerical or service worker,NSW,married,4.13,Q3,3.13,3.18,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,,
Female,19,1,,NSW,living with a partner,3.70,Q2,4.53,2.96,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,,
Male,36,4,manager or administrator,NSW,married,4.23,Q4,3.00,2.93,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,34,7,professional,QLD,married,3.97,Q3,3.27,2.81,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,,
Male,33,3,,WA,living with a partner,4.17,Q3,3.73,2.58,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,,
Female,62,2,unemployed,SA,separated or divorced,4.43,Q4,3.73,2.97,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,,
Male,57,8,professional,NSW,separated or divorced,4.67,Q4,3.40,3.84,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,,
Male,40,7,manager or administrator,SA,separated or divorced,4.20,Q3,2.80,3.30,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Male,67,1,retired,SA,living with a partner,3.10,Q1,3.07,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,27,7,professional,NSW,living with a partner,4.10,Q3,3.67,2.83,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,,
Male,34,6,manager or administrator,NSW,married,2.60,Q1,3.73,2.47,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,,
Male,59,7,professional,VIC,married,3.40,Q2,3.13,2.69,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,33,8,professional,NSW,married,3.20,Q1,3.53,2.00,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,,
Female,43,7,professional,QLD,living with a partner,3.63,Q2,3.20,1.83,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,55,8,manager or administrator,QLD,married,4.90,Q4,4.27,,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,,
Female,21,7,unemployed,QLD,single,3.67,Q2,3.33,2.70,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,,
Male,57,7,professional,QLD,living with a partner,4.00,Q3,3.40,3.21,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,,
Male,53,6,sales,NSW,married,4.43,Q4,3.47,3.95,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Female,41,3,home-duties,WA,married,3.30,Q1,3.33,2.48,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,42,4,professional,VIC,married,3.73,Q2,4.40,2.70,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,,
Male,63,6,professional,VIC,married,4.33,Q4,4.87,3.33,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,,
Male,23,7,,NSW,single,2.97,Q1,3.40,2.73,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,,
Male,48,2,manager or administrator,NSW,married,3.10,Q1,3.47,2.37,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,30,2,Clerical or service worker,VIC,single,4.43,Q4,4.53,3.07,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,,
Female,29,8,professional,WA,single,3.77,Q2,3.60,2.33,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,,
Male,28,7,professional,QLD,living with a partner,3.70,Q2,3.20,2.96,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,,
Male,55,8,professional,NSW,married,3.73,Q2,4.20,1.78,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,
Female,64,2,retired,QLD,married,3.83,Q3,3.40,3.60,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,,
Female,47,7,manager or administrator,SA,living with a partner,4.03,Q3,4.73,2.30,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,,
Female,33,4,unemployed,WA,married,4.03,Q3,3.87,4.29,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,,
Male,21,3,tradesperson,SA,living with a partner,3.60,Q2,3.80,2.23,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Male,19,2,,QLD,living with a partner,3.27,Q1,4.27,2.22,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,,
Female,39,8,manager or administrator,ACT,single,3.80,Q2,3.40,2.10,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,,
Female,29,6,manager or administrator,NSW,living with a partner,2.60,Q1,4.20,3.36,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,,
Female,43,1,home-duties,NSW,single,4.67,Q4,3.13,2.63,yes,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,,
Male,35,7,professional,VIC,married,2.77,Q1,2.40,1.60,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,,
Male,29,7,professional,NSW,single,3.17,Q1,2.93,2.24,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no,yes,,
Female,46,1,small business owner,QLD,married,3.43,Q2,4.13,3.46,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,,
Male,55,6,transport worker,VIC,married,2.93,Q1,3.27,3.00,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,,
Male,34,8,professional,QLD,married,3.03,Q1,3.27,2.70,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,,
Female,36,3,professional,VIC,married,3.30,Q1,3.33,2.48,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,,
Female,51,2,home-duties,QLD,married,4.27,Q4,4.67,3.25,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,,
Female,26,8,manager or administrator,QLD,married,3.63,Q2,2.93,2.70,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,,
Female,28,7,Clerical or service worker,NSW,married,2.93,Q1,4.07,2.33,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,,
Male,55,1,retired,QLD,living with a partner,4.63,Q4,4.73,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,35,3,sales,SA,married,3.63,Q2,3.13,,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,47,8,small business owner,VIC,living with a partner,4.23,Q4,3.73,2.52,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,,
Female,42,1,Clerical or service worker,SA,separated or divorced,3.83,Q3,3.73,3.00,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,,
Female,61,7,retired,NSW,married,3.93,Q3,3.80,2.94,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Male,70,2,manager or administrator,VIC,married,3.27,Q1,3.80,1.69,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,,
Female,62,6,small business owner,VIC,married,3.90,Q3,4.07,1.97,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Female,59,3,Clerical or service worker,QLD,married,4.37,Q4,3.93,3.67,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,,
Male,60,3,retired,NSW,single,4.10,Q3,3.47,2.87,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Male,22,3,professional,NSW,single,2.80,Q1,2.73,2.07,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,
Male,64,6,manager or administrator,VIC,married,4.70,Q4,3.80,3.46,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,,
Male,35,7,professional,Tas,single,2.87,Q1,3.00,2.17,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,,
Male,64,7,retired,NSW,married,3.80,Q2,4.27,3.18,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Male,43,7,professional,QLD,single,4.13,Q3,4.00,3.47,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,,
Male,45,3,transport worker,QLD,married,4.03,Q3,3.13,2.83,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,52,6,professional,VIC,married,4.57,Q4,4.73,3.82,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,,
Female,52,2,,NSW,married,3.93,Q3,3.20,3.29,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,,
Female,28,6,manager or administrator,VIC,married,3.73,Q2,3.47,2.23,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,64,3,retired,VIC,married,3.73,Q2,4.27,3.56,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,,
Male,39,3,tradesperson,WA,single,3.57,Q2,3.67,2.63,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,41,1,unemployed,VIC,married,3.87,Q3,4.27,2.39,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,62,2,retired,VIC,married,4.47,Q4,4.40,,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,,
Male,62,6,retired,VIC,married,3.50,Q2,3.13,2.83,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,,
Male,38,7,professional,NSW,single,4.47,Q4,3.80,3.00,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,,
Female,37,3,Clerical or service worker,NSW,married,3.50,Q2,3.60,2.89,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Male,33,6,Clerical or service worker,QLD,separated or divorced,3.23,Q1,3.93,2.78,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,,
Female,41,4,home-duties,NSW,married,2.57,Q1,4.27,1.63,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,37,3,unemployed,VIC,living with a partner,4.37,Q4,4.87,4.22,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,,
Female,64,2,home-duties,VIC,married,4.10,Q3,4.13,3.40,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,,
Male,56,3,manager or administrator,SA,,4.20,Q3,4.20,3.00,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,,
Female,50,4,home-duties,VIC,single,4.07,Q3,3.93,4.22,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,,
Male,52,4,professional,Tas,married,3.87,Q3,4.67,3.20,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,34,8,professional,QLD,separated or divorced,3.03,Q1,3.47,1.91,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,62,2,manager or administrator,WA,married,4.27,Q4,4.33,2.00,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,,
Male,19,3,sales,QLD,single,4.83,Q4,3.20,3.83,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,,
Male,55,1,manager or administrator,NSW,married,2.83,Q1,3.13,3.20,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,,
Male,35,7,manager or administrator,VIC,single,3.00,Q1,3.60,1.93,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,,
Female,46,6,Clerical or service worker,NSW,separated or divorced,4.07,Q3,3.20,2.80,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Male,62,2,tradesperson,NSW,married,4.37,Q4,3.87,4.09,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,,
Female,56,7,professional,NT,separated or divorced,3.77,Q2,3.40,3.50,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,,
Female,22,7,professional,VIC,single,3.53,Q2,3.47,3.56,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,,
Female,67,4,retired,SA,married,4.87,Q4,3.67,3.71,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,29,7,manager or administrator,NSW,single,3.40,Q2,3.87,3.03,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,,
Female,20,3,manager or administrator,QLD,single,3.17,Q1,2.80,1.76,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,,
Male,53,2,home-duties,SA,married,4.23,Q4,4.00,2.69,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,,
Female,31,3,home-duties,Tas,married,1.33,Q1,3.53,4.60,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,27,6,professional,WA,living with a partner,4.50,Q4,4.40,3.63,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,,
Female,45,6,manager or administrator,NSW,married,3.73,Q2,3.33,2.33,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,,
Female,59,1,retired,VIC,married,3.93,Q3,3.33,2.80,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,,
Male,32,6,manager or administrator,VIC,married,3.30,Q1,2.33,3.47,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,,
Male,57,2,small business owner,WA,married,4.57,Q4,4.60,4.00,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,,
Female,56,8,professional,NSW,married,4.07,Q3,4.13,2.35,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,,
Female,37,3,manager or administrator,VIC,married,3.40,Q2,3.93,3.06,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,,
Female,48,4,professional,QLD,married,3.70,Q2,3.60,3.22,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,,
Female,53,2,Clerical or service worker,VIC,married,4.10,Q3,3.60,2.79,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Female,26,7,manager or administrator,QLD,married,2.57,Q1,3.47,1.73,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,36,3,professional,VIC,separated or divorced,3.53,Q2,4.13,2.60,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,40,3,Clerical or service worker,NSW,married,3.50,Q2,3.87,3.13,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,,
Male,62,1,small business owner,QLD,married,3.77,Q2,4.07,3.70,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,,
Female,40,2,Clerical or service worker,NSW,single,2.90,Q1,2.93,2.23,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,,
Male,66,3,retired,QLD,separated or divorced,3.33,Q1,3.60,2.37,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,39,1,unemployed,VIC,married,3.97,Q3,3.60,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,58,7,professional,NSW,separated or divorced,4.03,Q3,3.13,3.47,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,60,8,professional,NSW,married,4.03,Q3,3.60,3.27,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,,
Female,46,2,manager or administrator,NSW,married,4.07,Q3,4.27,4.05,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,35,3,manager or administrator,QLD,married,2.73,Q1,3.07,2.03,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,,
Female,39,3,home-duties,QLD,married,3.20,Q1,3.13,2.00,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,,
Female,42,1,unemployed,VIC,single,2.80,Q1,3.33,,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,22,6,sales,VIC,single,4.23,Q4,3.80,3.17,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,,
